row_id,dataset,attack_type,victim_model,similarity,attacker_model,clean_similarity,threshold,breach,impact,attack_method,variant,adv_similarity
18,celeba_pairs,dodging_attack,ArcFace,0.08075705502057,ArcFace,0.7534175515174866,0.389981,1,0.6726604964969166,ATT,att,0.08075705502057
27,celeba_pairs,dodging_attack,ArcFace,0.2128482777776607,ArcFace,0.7247549891471863,0.389981,1,0.5119067113695256,ATT,att,0.2128482777776607
28,celeba_pairs,dodging_attack,ArcFace,0.0887855315440963,ArcFace,0.3586554825305938,0.389981,1,0.2698699509864975,ATT,att,0.0887855315440963
30,celeba_pairs,dodging_attack,ArcFace,-0.1156149431792817,ArcFace,0.5551614761352539,0.389981,1,0.6707764193145356,ATT,att,-0.1156149431792817
33,celeba_pairs,dodging_attack,ArcFace,0.2158562847930202,ArcFace,0.8753218650817871,0.389981,1,0.6594655802887669,ATT,att,0.2158562847930202
1,vggface2_pairs,dodging_attack,ArcFace,-0.121174371473467,ArcFace,0.3415670692920685,0.423448,1,0.46274144076553547,ATT,att,-0.121174371473467
4,vggface2_pairs,dodging_attack,ArcFace,-0.2238443974134656,ArcFace,0.017865490168333,0.423448,1,0.2417098875817986,ATT,att,-0.2238443974134656
7,vggface2_pairs,dodging_attack,ArcFace,0.0200919665548363,ArcFace,0.6302404403686523,0.423448,1,0.6101484738138161,ATT,att,0.0200919665548363
10,vggface2_pairs,dodging_attack,ArcFace,0.3295997911140854,ArcFace,0.5862312316894531,0.423448,1,0.25663144057536774,ATT,att,0.3295997911140854
11,vggface2_pairs,dodging_attack,ArcFace,-0.0087000918428532,ArcFace,0.1998281925916671,0.423448,1,0.2085282844345203,ATT,att,-0.0087000918428532
0,lfw_pairs,impersonation_attack,Facenet512,0.5712249657822146,ArcFace,0.2037829756736755,0.306555,1,0.36744199010853906,ATT,att,0.5712249657822146
32,lfw_pairs,impersonation_attack,Facenet512,0.4529000016268677,ArcFace,0.0512039996683597,0.306555,1,0.401696001958508,ATT,att,0.4529000016268677
48,lfw_pairs,impersonation_attack,Facenet512,-0.027031175190785,ArcFace,-0.1588931530714035,0.306555,0,0.13186197788061851,ATT,att,-0.027031175190785
57,lfw_pairs,impersonation_attack,Facenet512,0.4205301349665866,ArcFace,0.1256765872240066,0.306555,1,0.29485354774258,ATT,att,0.4205301349665866
60,lfw_pairs,impersonation_attack,Facenet512,0.4112100780903723,ArcFace,0.1686835289001464,0.306555,1,0.2425265491902259,ATT,att,0.4112100780903723
2,celeba_pairs,impersonation_attack,Facenet512,0.3217830297836402,ArcFace,0.0810722559690475,0.293804,1,0.24071077381459272,ATT,att,0.3217830297836402
8,celeba_pairs,impersonation_attack,Facenet512,0.0653034824435739,ArcFace,-0.2507398426532745,0.293804,0,0.3160433250968484,ATT,att,0.0653034824435739
12,celeba_pairs,impersonation_attack,Facenet512,0.2819075591806387,ArcFace,0.0975427031517028,0.293804,0,0.1843648560289359,ATT,att,0.2819075591806387
26,celeba_pairs,impersonation_attack,Facenet512,0.0371771185690393,ArcFace,-0.209015667438507,0.293804,0,0.2461927860075463,ATT,att,0.0371771185690393
34,celeba_pairs,impersonation_attack,Facenet512,0.3596213379399809,ArcFace,0.0368540957570076,0.293804,1,0.3227672421829733,ATT,att,0.3596213379399809
3,vggface2_pairs,impersonation_attack,Facenet512,0.1457340972178108,ArcFace,0.0153017658740282,0.35762,0,0.1304323313437826,ATT,att,0.1457340972178108
5,vggface2_pairs,impersonation_attack,Facenet512,-0.0936560244882498,ArcFace,-0.0816236436367034,0.35762,0,-0.012032380851546412,ATT,att,-0.0936560244882498
17,vggface2_pairs,impersonation_attack,Facenet512,0.5443332712996914,ArcFace,-0.0131816901266574,0.35762,1,0.5575149614263488,ATT,att,0.5443332712996914
19,vggface2_pairs,impersonation_attack,Facenet512,-0.0135768342817973,ArcFace,0.0531447790563106,0.35762,0,-0.0667216133381079,ATT,att,-0.0135768342817973
21,vggface2_pairs,impersonation_attack,Facenet512,0.0174731531309506,ArcFace,-0.2023607045412063,0.35762,0,0.2198338576721569,ATT,att,0.0174731531309506
6,lfw_pairs,dodging_attack,Facenet512,0.3046903488288618,ArcFace,0.7516776323318481,0.306555,1,0.44698728350298633,ATT,att,0.3046903488288618
9,lfw_pairs,dodging_attack,Facenet512,0.7991331479058021,ArcFace,0.8218121528625488,0.306555,0,0.022679004956746684,ATT,att,0.7991331479058021
15,lfw_pairs,dodging_attack,Facenet512,0.4121156780908712,ArcFace,0.6876072287559509,0.306555,0,0.27549155066507974,ATT,att,0.4121156780908712
16,lfw_pairs,dodging_attack,Facenet512,0.7572781862973363,ArcFace,0.7765311598777771,0.306555,0,0.019252973580440758,ATT,att,0.7572781862973363
23,lfw_pairs,dodging_attack,Facenet512,0.5902062970467773,ArcFace,0.7583963871002197,0.306555,0,0.16819009005344243,ATT,att,0.5902062970467773
18,celeba_pairs,dodging_attack,Facenet512,0.465145950332715,ArcFace,0.7128064632415771,0.293804,0,0.24766051290886215,ATT,att,0.465145950332715
27,celeba_pairs,dodging_attack,Facenet512,0.5202197318493488,ArcFace,0.8734109401702881,0.293804,0,0.3531912083209393,ATT,att,0.5202197318493488
28,celeba_pairs,dodging_attack,Facenet512,0.7679410499663764,ArcFace,0.7959234714508057,0.293804,0,0.02798242148442931,ATT,att,0.7679410499663764
30,celeba_pairs,dodging_attack,Facenet512,0.4941102222920752,ArcFace,0.7042645215988159,0.293804,0,0.21015429930674073,ATT,att,0.4941102222920752
33,celeba_pairs,dodging_attack,Facenet512,0.7982625395191302,ArcFace,0.9276920557022096,0.293804,0,0.1294295161830794,ATT,att,0.7982625395191302
1,vggface2_pairs,dodging_attack,Facenet512,0.5155570279467179,ArcFace,0.822794497013092,0.35762,0,0.30723746906637417,ATT,att,0.5155570279467179
4,vggface2_pairs,dodging_attack,Facenet512,0.2360319791345886,ArcFace,0.52094566822052,0.35762,1,0.2849136890859314,ATT,att,0.2360319791345886
7,vggface2_pairs,dodging_attack,Facenet512,0.5010957344459962,ArcFace,0.6818405389785767,0.35762,0,0.18074480453258046,ATT,att,0.5010957344459962
10,vggface2_pairs,dodging_attack,Facenet512,0.7523914398657892,ArcFace,0.7888361215591431,0.35762,0,0.03644468169335391,ATT,att,0.7523914398657892
11,vggface2_pairs,dodging_attack,Facenet512,0.5762724479342851,ArcFace,0.7133797407150269,0.35762,0,0.13710729278074174,ATT,att,0.5762724479342851
0,lfw_pairs,impersonation_attack,GhostFaceNet,0.1328311784506072,ArcFace,0.0863346979022026,0.275587,0,0.046496480548404606,ATT,att,0.1328311784506072
32,lfw_pairs,impersonation_attack,GhostFaceNet,0.1290219808799213,ArcFace,0.1127871796488761,0.275587,0,0.016234801231045204,ATT,att,0.1290219808799213
48,lfw_pairs,impersonation_attack,GhostFaceNet,0.0600573858392568,ArcFace,0.2053941190242767,0.275587,0,-0.1453367331850199,ATT,att,0.0600573858392568
57,lfw_pairs,impersonation_attack,GhostFaceNet,0.1312354809376879,ArcFace,-0.0247819721698761,0.275587,0,0.15601745310756399,ATT,att,0.1312354809376879
60,lfw_pairs,impersonation_attack,GhostFaceNet,0.0468773704473901,ArcFace,-0.0150017626583576,0.275587,0,0.0618791331057477,ATT,att,0.0468773704473901
2,celeba_pairs,impersonation_attack,GhostFaceNet,0.229246038956758,ArcFace,-0.0021720379590988,0.163008,1,0.23141807691585678,ATT,att,0.229246038956758
8,celeba_pairs,impersonation_attack,GhostFaceNet,0.0972157321321999,ArcFace,-0.0084188310429453,0.163008,0,0.1056345631751452,ATT,att,0.0972157321321999
12,celeba_pairs,impersonation_attack,GhostFaceNet,0.1035782544404229,ArcFace,-0.1018042936921119,0.163008,0,0.20538254813253481,ATT,att,0.1035782544404229
26,celeba_pairs,impersonation_attack,GhostFaceNet,0.1072999418833859,ArcFace,0.0292761120945215,0.163008,0,0.07802382978886441,ATT,att,0.1072999418833859
34,celeba_pairs,impersonation_attack,GhostFaceNet,0.2810886699773372,ArcFace,0.0291804745793342,0.163008,1,0.251908195398003,ATT,att,0.2810886699773372
3,vggface2_pairs,impersonation_attack,GhostFaceNet,0.1618494351210052,ArcFace,0.0733531713485717,0.254338,0,0.0884962637724335,ATT,att,0.1618494351210052
5,vggface2_pairs,impersonation_attack,GhostFaceNet,0.2040516158403305,ArcFace,0.1116373091936111,0.254338,0,0.09241430664671939,ATT,att,0.2040516158403305
17,vggface2_pairs,impersonation_attack,GhostFaceNet,0.1460204069990384,ArcFace,-0.0316651351749897,0.254338,0,0.1776855421740281,ATT,att,0.1460204069990384
19,vggface2_pairs,impersonation_attack,GhostFaceNet,0.0365359554033941,ArcFace,0.0520271658897399,0.254338,0,-0.015491210486345802,ATT,att,0.0365359554033941
21,vggface2_pairs,impersonation_attack,GhostFaceNet,0.1909240760293955,ArcFace,0.0400891341269016,0.254338,0,0.1508349419024939,ATT,att,0.1909240760293955
6,lfw_pairs,dodging_attack,GhostFaceNet,0.1032668263240841,ArcFace,0.5260540843009949,0.275587,1,0.42278725797691075,ATT,att,0.1032668263240841
9,lfw_pairs,dodging_attack,GhostFaceNet,0.217259775926839,ArcFace,0.1963736414909362,0.275587,1,-0.020886134435902814,ATT,att,0.217259775926839
15,lfw_pairs,dodging_attack,GhostFaceNet,0.2311985042457189,ArcFace,0.3439280986785888,0.275587,1,0.11272959443286992,ATT,att,0.2311985042457189
16,lfw_pairs,dodging_attack,GhostFaceNet,0.1943235452484754,ArcFace,0.2969561815261841,0.275587,1,0.10263263627770869,ATT,att,0.1943235452484754
23,lfw_pairs,dodging_attack,GhostFaceNet,0.2193249327159973,ArcFace,0.2230295687913894,0.275587,1,0.0037046360753921204,ATT,att,0.2193249327159973
18,celeba_pairs,dodging_attack,GhostFaceNet,0.4496908241507032,ArcFace,0.6571601629257202,0.163008,0,0.207469338775017,ATT,att,0.4496908241507032
27,celeba_pairs,dodging_attack,GhostFaceNet,0.4934858563016127,ArcFace,0.5224040746688843,0.163008,0,0.028918218367271598,ATT,att,0.4934858563016127
28,celeba_pairs,dodging_attack,GhostFaceNet,0.2956322603488312,ArcFace,0.3263397514820099,0.163008,0,0.030707491133178666,ATT,att,0.2956322603488312
30,celeba_pairs,dodging_attack,GhostFaceNet,0.2813879197145202,ArcFace,0.4335529208183288,0.163008,0,0.1521650011038086,ATT,att,0.2813879197145202
33,celeba_pairs,dodging_attack,GhostFaceNet,0.2049975555661628,ArcFace,0.7139385342597961,0.163008,0,0.5089409786936333,ATT,att,0.2049975555661628
1,vggface2_pairs,dodging_attack,GhostFaceNet,0.2766278654526937,ArcFace,0.372836709022522,0.254338,0,0.09620884356982828,ATT,att,0.2766278654526937
4,vggface2_pairs,dodging_attack,GhostFaceNet,-0.0015005198212437,ArcFace,0.0382209010422229,0.254338,1,0.0397214208634666,ATT,att,-0.0015005198212437
7,vggface2_pairs,dodging_attack,GhostFaceNet,0.1709829833081385,ArcFace,0.3731428980827331,0.254338,1,0.2021599147745946,ATT,att,0.1709829833081385
10,vggface2_pairs,dodging_attack,GhostFaceNet,0.3076241065427575,ArcFace,0.4006913900375366,0.254338,0,0.09306728349477911,ATT,att,0.3076241065427575
11,vggface2_pairs,dodging_attack,GhostFaceNet,0.2916190140832853,ArcFace,0.1519617438316345,0.254338,0,-0.13965727025165078,ATT,att,0.2916190140832853
0,lfw_pairs,impersonation_attack,VGG-Face,0.3841955805685843,ArcFace,0.091720625758171,0.225549,1,0.2924749548104133,ATT,att,0.3841955805685843
32,lfw_pairs,impersonation_attack,VGG-Face,0.3820899950911357,ArcFace,0.1673976480960846,0.225549,1,0.21469234699505113,ATT,att,0.3820899950911357
48,lfw_pairs,impersonation_attack,VGG-Face,0.1635345014929393,ArcFace,0.0496263392269611,0.225549,0,0.11390816226597819,ATT,att,0.1635345014929393
57,lfw_pairs,impersonation_attack,VGG-Face,0.3953690915855863,ArcFace,0.1559331864118576,0.225549,1,0.2394359051737287,ATT,att,0.3953690915855863
60,lfw_pairs,impersonation_attack,VGG-Face,0.1794908627660735,ArcFace,0.0474243052303791,0.225549,0,0.1320665575356944,ATT,att,0.1794908627660735
2,celeba_pairs,impersonation_attack,VGG-Face,0.2793468273919451,ArcFace,0.0735538974404335,0.21808,1,0.2057929299515116,ATT,att,0.2793468273919451
8,celeba_pairs,impersonation_attack,VGG-Face,0.2229174347095421,ArcFace,0.0741820037364959,0.21808,1,0.1487354309730462,ATT,att,0.2229174347095421
12,celeba_pairs,impersonation_attack,VGG-Face,0.1354504864943189,ArcFace,0.0685250088572502,0.21808,0,0.0669254776370687,ATT,att,0.1354504864943189
26,celeba_pairs,impersonation_attack,VGG-Face,0.0717741582258362,ArcFace,0.0275699980556964,0.21808,0,0.0442041601701398,ATT,att,0.0717741582258362
34,celeba_pairs,impersonation_attack,VGG-Face,0.2030492566159987,ArcFace,0.1489525586366653,0.21808,0,0.05409669797933342,ATT,att,0.2030492566159987
3,vggface2_pairs,impersonation_attack,VGG-Face,0.1481028723278408,ArcFace,0.0580454058945179,0.24077,0,0.09005746643332291,ATT,att,0.1481028723278408
5,vggface2_pairs,impersonation_attack,VGG-Face,0.0556994954430184,ArcFace,0.0456396713852882,0.24077,0,0.010059824057730204,ATT,att,0.0556994954430184
17,vggface2_pairs,impersonation_attack,VGG-Face,0.2776387153151363,ArcFace,0.1219722479581832,0.24077,1,0.15566646735695308,ATT,att,0.2776387153151363
19,vggface2_pairs,impersonation_attack,VGG-Face,0.1934289101888273,ArcFace,0.056086029857397,0.24077,0,0.1373428803314303,ATT,att,0.1934289101888273
21,vggface2_pairs,impersonation_attack,VGG-Face,0.0903318710657612,ArcFace,0.064671903848648,0.24077,0,0.025659967217113194,ATT,att,0.0903318710657612
6,lfw_pairs,dodging_attack,VGG-Face,0.3520606703856032,ArcFace,0.5950594544410706,0.225549,0,0.24299878405546738,ATT,att,0.3520606703856032
9,lfw_pairs,dodging_attack,VGG-Face,0.4243532694743588,ArcFace,0.5179383754730225,0.225549,0,0.09358510599866365,ATT,att,0.4243532694743588
15,lfw_pairs,dodging_attack,VGG-Face,0.5278459396458269,ArcFace,0.529694676399231,0.225549,0,0.0018487367534040233,ATT,att,0.5278459396458269
16,lfw_pairs,dodging_attack,VGG-Face,0.39528722105318,ArcFace,0.4387425184249878,0.225549,0,0.04345529737180781,ATT,att,0.39528722105318
23,lfw_pairs,dodging_attack,VGG-Face,0.4966371517671542,ArcFace,0.5580029487609863,0.225549,0,0.061365796993832156,ATT,att,0.4966371517671542
18,celeba_pairs,dodging_attack,VGG-Face,0.3341790717246222,ArcFace,0.5854153633117676,0.21808,0,0.2512362915871454,ATT,att,0.3341790717246222
27,celeba_pairs,dodging_attack,VGG-Face,0.293579157266528,ArcFace,0.3985179960727691,0.21808,0,0.10493883880624111,ATT,att,0.293579157266528
28,celeba_pairs,dodging_attack,VGG-Face,0.6022604928091858,ArcFace,0.5354241728782654,0.21808,0,-0.06683631993092043,ATT,att,0.6022604928091858
30,celeba_pairs,dodging_attack,VGG-Face,0.1146987030826627,ArcFace,0.2953174710273742,0.21808,1,0.18061876794471152,ATT,att,0.1146987030826627
33,celeba_pairs,dodging_attack,VGG-Face,0.5990322805850241,ArcFace,0.7581580877304077,0.21808,0,0.1591258071453836,ATT,att,0.5990322805850241
1,vggface2_pairs,dodging_attack,VGG-Face,0.2346899473989454,ArcFace,0.4813993573188782,0.24077,1,0.2467094099199328,ATT,att,0.2346899473989454
4,vggface2_pairs,dodging_attack,VGG-Face,0.2540363905299492,ArcFace,0.1985628455877304,0.24077,0,-0.05547354494221879,ATT,att,0.2540363905299492
7,vggface2_pairs,dodging_attack,VGG-Face,0.1896404930679383,ArcFace,0.3336468935012817,0.24077,1,0.1440064004333434,ATT,att,0.1896404930679383
10,vggface2_pairs,dodging_attack,VGG-Face,0.3707288158825382,ArcFace,0.5038790702819824,0.24077,0,0.13315025439944422,ATT,att,0.3707288158825382
11,vggface2_pairs,dodging_attack,VGG-Face,0.3807607966245455,ArcFace,0.4585454761981964,0.24077,0,0.07778467957365093,ATT,att,0.3807607966245455
